nama,alamat,nama_bangunan,nama_jalan,rt,rw,kelurahan,kecamatan,kota,kode_pos,telepon,fax,selular,ukuran_usaha,kategori_usaha,kegiatan_usaha,jenis_usaha,siup,npwp
TOKO OBAT MAHKOTA DEWA,Itc Cempaka Mas lt. Dasar Blok C No. 203,Itc Cempaka Mas lt. Dasar Blok C No. 203,,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO OBAT MARIA,Roxi Squere lt. Ug Blok B3/5,Roxi Squere lt. Ug Blok B3/5,,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO OBAT MUNGKE,"Jl. Pasar Inpres Cijantung, Jakarta Timur",,Jl. Pasar Inpres Cijantung,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO OBAT NUR BUDI,Blok Bks No. 66-67,Blok Bks No. 66-67,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO OBAT PRIMATRI UTAMA,"Jl. Utama, Jakarta Selatan",,Jl. Utama,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO OBAT ROSI,Pasar Aya,Pasar Aya,,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO OBAT SAIFUL,"Jl. Empang, Jakarta Timur",,Jl. Empang,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,Menjual obat dan kosmetik,PERORANGAN,,
TOKO OBAT SUGIMAN,"Jl. Gabus, Jakarta Utara",,Jl. Gabus,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,Dagang obat-obatan,PERORANGAN,,
TOKO OBAT TUNAS,"Jl. Raya Kayu Tinggi, Jakarta Timur",,Jl. Raya Kayu Tinggi,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,Dagang obat-obatan,PERORANGAN,,
TOKO OBAT YACOB,"Jl. Kramat Jaya Baru Blok E Vi, Jakarta Pusat",,Jl. Kramat Jaya Baru Blok E Vi,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO OCHA SHOP,Itc Cempaka Mas lt. III Blok I No. 684,Itc Cempaka Mas lt. III Blok I No. 684,,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian dewasa,PERORANGAN,,
TOKO OLI SIRINGGO RINGGO,"Jl. Garuda Ujung, Jakarta Pusat",,Jl. Garuda Ujung,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO OLI TJONG WIE KONG,"Jl. Kepu Selatan No. 18a, Jakarta Pusat",,Jl. Kepu Selatan No. 18a,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO OLIE AK 21 KIM EK,"Jl. Taman Palm Blok A 39 No. 21, Jakarta Barat",,Jl. Taman Palm Blok A 39 No. 21,,,,,Jakarta Barat,,02155962754,,,Usaha Mikro ,Jasa,Jasa service dan penjualan,PERORANGAN,,
TOKO ONDERDIL MOBILHANDRO,"Jl. Pasar Tanah Abang Bukit Lt 1 Aks No. 2, Jakarta Pusat",,Jl. Pasar Tanah Abang Bukit Lt 1 Aks No. 2,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO ONDERDIL MOTOR KUSNO,"Jl. Malaka, Jakarta Timur",,Jl. Malaka,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO ONDERDIL MOTOR SUTRISNO,"Jl. Raya Bogor, Jakarta Timur",,Jl. Raya Bogor,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO ONDERDIL SAMRA,"Jl. Baru Ancol Selatan No. 29, Jakarta Utara",,Jl. Baru Ancol Selatan No. 29,,,,,Jakarta Utara,,65301807,,,Usaha Mikro ,Perdagangan,Dagang onderdil mobil,PERORANGAN,,
TOKO ONDERDIL SELAMA BARU,"Jl. Kepu Selatan No. 20, Jakarta Pusat",,Jl. Kepu Selatan No. 20,,,,,Jakarta Pusat,,4254508,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO ONDERDIL YANI AMARTA,"Jl. Kayu Mas Utara, Jakarta Timur",,Jl. Kayu Mas Utara,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO ONE COLLETION ABAS,lt. Dasar Ps Pondok Labu,lt. Dasar Ps Pondok Labu,,,,,,Jakarta Selatan,,7545221,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO ONE WAY,"Jl. Blok A Lantai 2 Los D No. 39 - Los C No. 76, Jakarta Pusat",,Jl. Blok A Lantai 2 Los D No. 39 - Los C No. 76,,,,,Jakarta Pusat,,68061535,,,Usaha Mikro ,Perdagangan,Dagang macam-macam kaos,PERORANGAN,,
TOKO OOG,Harco Glodok Block D N0 1f,Harco Glodok Block D N0 1f,,,,,,Jakarta Barat,,,,,Usaha Mikro ,Jasa,Service radio dan alat komunikasi,PERORANGAN,,
TOKO OPTIK SEJAHTERA,"Jl. Prepedan 3, Jakarta Barat",,Jl. Prepedan 3,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO OSAKA,Proyek Pasar Jatinegara Bks lt. 2,Proyek Pasar Jatinegara Bks lt. 2,,,,,,Jakarta Timur,,85910402,,,Usaha Mikro ,Jasa / Produksi Lainnya,Membuat bordiran,PERORANGAN,,
TOKO OTHE FURNITURE,Mall Artha Gading lt. 3,Mall Artha Gading lt. 3,,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO OUTLET 21,Itc Mangga Dua lt. 2/c/118,Itc Mangga Dua lt. 2/c/118,,,,,,Jakarta Utara,,0216120363,,,Usaha Mikro ,Perdagangan,Menjual pakaian pria,PERORANGAN,,
TOKO OZEITA,Pasar Tanah Abang Blok D 10 Lantai 2 No. 71,Pasar Tanah Abang Blok D 10 Lantai 2 No. 71,,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,Dagang baju anak,PERORANGAN,,
TOKO PACKING SNACK MELANIA,"Jl. Kusuma Blok C 1a No. 12a, Jakarta Barat",,Jl. Kusuma Blok C 1a No. 12a,,,,,Jakarta Barat,,,,,Usaha Mikro ,Jasa,Packing snack dan makanan ringan,PERORANGAN,,
TOKO PAK JAPAR,"Jl. Kebon Jeruk XIX, Jakarta Barat",,Jl. Kebon Jeruk XIX,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAAIAN JONH,Pasar Cipinang Muara Blok Aks,Pasar Cipinang Muara Blok Aks,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian jadi,PERORANGAN,,
TOKO PAKAIAN,Itc Cempaka Mas lt. 1 Blok L No. 992,Itc Cempaka Mas lt. 1 Blok L No. 992,,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,Dagang baju dan celana,PERORANGAN,,
TOKO PAKAIAN DRIENTANISAH,Pasar Cipinang Muara Blok Act,Pasar Cipinang Muara Blok Act,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN ABIDIN,"Jl. Ps Inpres Act No. 110, Jakarta Barat",,Jl. Ps Inpres Act No. 110,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN ABRI SHERATON,"Jl. Pasar Proyek Senen Lantai 2 Blok Ii, Jakarta Pusat",,Jl. Pasar Proyek Senen Lantai 2 Blok Ii,,,,,Jakarta Pusat,,3865463,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN ALAN,"Jl. Kramat Jaya Pasar Koja Baru Blok A, Jakarta Utara",,Jl. Kramat Jaya Pasar Koja Baru Blok A,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian jadi,PERORANGAN,,
TOKO PAKAIAN ARMEN,Pasar Pulo Jahe,Pasar Pulo Jahe,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian seragam,PERORANGAN,,
TOKO PAKAIAN BUTIK RANTI,Cibubur Junction Upper Ground,Cibubur Junction Upper Ground,,,,,,Jakarta Timur,,8467350,,,,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN BUYUNG,Pasar Gaplok,Pasar Gaplok,,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN CANADA,Pd Pasar Jaya Kramat Jati Bks 8-9,Pd Pasar Jaya Kramat Jati Bks 8-9,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,Menjual pakaian jadi,PERORANGAN,,
TOKO PAKAIAN CANADO,"Jl. Pulo Gadung, Jakarta Timur",,Jl. Pulo Gadung,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN DALAM,Lantai Dasar Pasar Palmerah,Lantai Dasar Pasar Palmerah,,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian dalam,PERORANGAN,,
TOKO PAKAIAN DEBBIE,Wtc Mangga Dua lt. G Blok B,Wtc Mangga Dua lt. G Blok B,,,,,,Jakarta Utara,,3001337,,,Usaha Mikro ,Perdagangan,Dagang pakaian jadi,PERORANGAN,,
TOKO PAKAIAN DUA PUTRA,Ps Cibubur,Ps Cibubur,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN DULHADI,Pasar Muara Angke Bks No. 59,Pasar Muara Angke Bks No. 59,,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN DUNIA MAJU,"Jl. Pasar Proyek Senen Lantai 1, Jakarta Pusat",,Jl. Pasar Proyek Senen Lantai 1,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN ELSA,Wtc Mangga Dua lt. 4 Blok B No. 94,Wtc Mangga Dua lt. 4 Blok B No. 94,,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN FURQON,"Jl. Gunung Sahari 11, Jakarta Pusat",,Jl. Gunung Sahari 11,,,,,Jakarta Pusat,,6007270,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN H ASRIL,Pasar Palmeriam,Pasar Palmeriam,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN H MUKINAH,Pasar Grogol Lantai Dasar Los Dks,Pasar Grogol Lantai Dasar Los Dks,,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN H SANEN N,Pasar Inpres,Pasar Inpres,,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN HASBULLAH,Pasar Perumnas Lantai Dasar,Pasar Perumnas Lantai Dasar,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN HJ.SOPIYAH,"Jl. Kebantenan 3 Pasar Jongkok, Jakarta Utara",,Jl. Kebantenan 3 Pasar Jongkok,,,,,Jakarta Utara,,08138579811,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN HORMAT GINTING,"Jl. Pasar Senen Blok VI Los B No. 121, Jakarta Pusat",,Jl. Pasar Senen Blok VI Los B No. 121,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN HUSIN,Pasar Inpres,Pasar Inpres,,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian jadi,PERORANGAN,,
TOKO PAKAIAN INA,"Jl. Kramat Jaya Pasar Koja Baru Blok A, Jakarta Utara",,Jl. Kramat Jaya Pasar Koja Baru Blok A,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian jadi,PERORANGAN,,
TOKO PAKAIAN INDRA,"Jl. Kramat Raya Pasar Koja Baru Blok A, Jakarta Utara",,Jl. Kramat Raya Pasar Koja Baru Blok A,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian jadi,PERORANGAN,,
TOKO PAKAIAN IRMA,Pd Pasar Jaya Kramat Jati Aks 204-205,Pd Pasar Jaya Kramat Jati Aks 204-205,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,Menjual pakaian jadi,PERORANGAN,,
TOKO PAKAIAN J&J COLLECTION,Itc Kuningan lt. I Blok B3 No. 1,Itc Kuningan lt. I Blok B3 No. 1,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN JADI AYUNG,Mangga Dua Square Lantai Baseman 1 Blok B No. 86,Mangga Dua Square Lantai Baseman 1 Blok B No. 86,,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian jadi pria,PERORANGAN,,
TOKO PAKAIAN JADI ROBI,"Jl. Kramat Jaya Ps Koja Baru Blok B, Jakarta Utara",,Jl. Kramat Jaya Ps Koja Baru Blok B,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN JADI RUSMADIAR,"Jl. Kramat Jaya Ps Koja Baru Blok B, Jakarta Utara",,Jl. Kramat Jaya Ps Koja Baru Blok B,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN JITON,Itc Permata Hijau Lantai,Itc Permata Hijau Lantai,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN KARUNIA WIJAYA NUR,"Jl. Pasar Proyek Senen Lantai 2 Blok I, Jakarta Pusat",,Jl. Pasar Proyek Senen Lantai 2 Blok I,,,,,Jakarta Pusat,,4211088,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN KIMIKO,Mega Mall Pluit Lantai 3,Mega Mall Pluit Lantai 3,,,,,,Jakarta Utara,,6660299,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN LACARRIELA,Mega Mall Pluit Lantai 3,Mega Mall Pluit Lantai 3,,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN LANGGENG,"Jl. Kramat Jaya Pasar Koja Blok C, Jakarta Utara",,Jl. Kramat Jaya Pasar Koja Blok C,,,,,Jakarta Utara,,43911511,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN LEMON,Wtc Mangga Dua lt. G Blok B No. 133,Wtc Mangga Dua lt. G Blok B No. 133,,,,,,Jakarta Utara,,300113365,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN LILI,"Jl. Pangkalan Asem Pasar Inpres 2, Jakarta Pusat",,Jl. Pangkalan Asem Pasar Inpres 2,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,Jual pakaian jadi,PERORANGAN,,
TOKO PAKAIAN MARHAMAH,Itc Cempaka Mas lt. 2 Blok J,Itc Cempaka Mas lt. 2 Blok J,,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN MARWITO,"Jl. Salemba Raya, Jakarta Pusat",,Jl. Salemba Raya,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN MASTIN,Pasar Induk,Pasar Induk,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,Toko pakaian h.mastn,PERORANGAN,,
TOKO PAKAIAN MUSLIM DEDE,Bekas Pasar Regional Jatinegara Lantai Dasar,Bekas Pasar Regional Jatinegara Lantai Dasar,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN MUSLIM FIRDAUS,Pasar Regional Blok F Lantai 4 No,Pasar Regional Blok F Lantai 4 No,,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Jasa,,PERORANGAN,,
TOKO PAKAIAN NATA,"Jl. Pangkalan Asem Pasar Impres Ii, Jakarta Pusat",,Jl. Pangkalan Asem Pasar Impres Ii,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN NAZIB,Ptc Lt2 Blok B,Ptc Lt2 Blok B,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN NENI,Kp Gusti Pintu Air No. 52,Kp Gusti Pintu Air No. 52,,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian pria wanita,PERORANGAN,,
TOKO PAKAIAN NENSI S,"Jl. Tebet Dalam II F No. 29, Jakarta Selatan",,Jl. Tebet Dalam II F No. 29,,,,,Jakarta Selatan,,021-8301194,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN NEW ERA,Bekas Pasar Regional Jatinegara Lantai Dasar,Bekas Pasar Regional Jatinegara Lantai Dasar,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN NICE SECRETS,Wtc Mangga Dua lt. G Blok A No. 108-109,Wtc Mangga Dua lt. G Blok A No. 108-109,,,,,,Jakarta Utara,,30011283,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN NOVA,Itc Permata Hijau Lantai,Itc Permata Hijau Lantai,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN OKE,Bekas Pasar Regional Jatinegara Lantai Dasar,Bekas Pasar Regional Jatinegara Lantai Dasar,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN PRIMA MULIA,Bekas Pasar Trend Center Lantai Dasar,Bekas Pasar Trend Center Lantai Dasar,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN RIZKY,Pasar Cengkareng Lantai Dasar Aks 46,Pasar Cengkareng Lantai Dasar Aks 46,,,,,,Jakarta Barat,,,,,,Perdagangan,Menjual pakaian dewasa,PERORANGAN,,
TOKO PAKAIAN ROSIDAH,"Jl. Pasar Serdang, Jakarta Pusat",,Jl. Pasar Serdang,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN SABRI,"Jl. Kramat Raya Pasar Koja Baru Blok A, Jakarta Utara",,Jl. Kramat Raya Pasar Koja Baru Blok A,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian jadi,PERORANGAN,,
TOKO PAKAIAN SANDRYANT,Cibubur Junction Upper Ground,Cibubur Junction Upper Ground,,,,,,Jakarta Timur,,,,,,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN SIMON,Ps Jaya lt. 2 La002,Ps Jaya lt. 2 La002,,,,,,Jakarta Barat,,6928101,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN SITI MASYITO,"Jl. C 1 No. 9, Jakarta Pusat",,Jl. C 1 No. 9,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN SRI WAHYU NINGSIH,"Jl. Warakas 7 Gg. 8, Jakarta Utara",,Jl. Warakas 7 Gg. 8,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN STELLA,Itc Mangga Dua lt. 1 Blok.B / 29,Itc Mangga Dua lt. 1 Blok.B / 29,,,,,,Jakarta Utara,,0216018533,,,Usaha Mikro ,Perdagangan,Menjual gaun pesta anak,PERORANGAN,,
TOKO PAKAIAN SUBANDI,"Jl. Pasar Anyer Bahari, Jakarta Utara",,Jl. Pasar Anyer Bahari,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian dalam,PERORANGAN,,
TOKO PAKAIAN SUBROTO,"Jl. Pasar Senen Blok III Lt 1, Jakarta Pusat",,Jl. Pasar Senen Blok III Lt 1,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN SUBUR,Pasar Kopro Blok B No. 25,Pasar Kopro Blok B No. 25,,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN SUKRIAH,Pasar Lontar Bks 36,Pasar Lontar Bks 36,,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN SUTA,"Jl. Kramat Jaya, Jakarta Utara",,Jl. Kramat Jaya,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN SUYATIN,"Jl. Swasembada Barat 16, Jakarta Utara",,Jl. Swasembada Barat 16,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN SYAMSUL,"Jl. Pasar Pos Duri, Jakarta Barat",,Jl. Pasar Pos Duri,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN TAKIROM,"Jl. Salemba Raya Pasar Paseban, Jakarta Pusat",,Jl. Salemba Raya Pasar Paseban,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PAKAIAN YUYUN,Pasar Pagi lt. IV Blok Cd,Pasar Pagi lt. IV Blok Cd,,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,Menjual pakaian jadi,PERORANGAN,,
TOKO PAKAN UNGGAS YANTO,"Jl. Inspeksi Kelapa Gading, Jakarta Utara",,Jl. Inspeksi Kelapa Gading,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PANDA FURNITURE,"Jl. Raya Bekasi, Jakarta Timur",,Jl. Raya Bekasi,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa / Produksi Lainnya,,PERORANGAN,,
TOKO PANEL H MUKHTAR,"Jl. Empang, Jakarta Timur",,Jl. Empang,,,,,Jakarta Timur,,,,,Usaha Mikro ,Jasa / Produksi Lainnya,Membuat panel listrik,PERORANGAN,,
TOKO PANGERAN,"Jl. Pasar Tanah Abang Blok F 2 Lt 3 No. 106, Jakarta Pusat",,Jl. Pasar Tanah Abang Blok F 2 Lt 3 No. 106,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,Dagang pakaian jadi,PERORANGAN,,
TOKO PANJI MOTOR,Pasar Asem Reges,Pasar Asem Reges,,,,,,Jakarta Barat,,6391687,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PARDEDE,Pd Pasar Jaya,Pd Pasar Jaya,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,Dagang kelontong,PERORANGAN,,
TOKO PARNO,Jelambar Barat II B No. 8,Jelambar Barat II B No. 8,,,,,,Jakarta Barat,,02192842517,,,Usaha Mikro ,Perdagangan,Menjual makanan dan minuman,PERORANGAN,,
TOKO PARTI,"Jl. Pisangan Lama Ii, Jakarta Timur",,Jl. Pisangan Lama Ii,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,Dagang sembako / warung langsam,PERORANGAN,,
TOKO PASIA PLASTIK,Pasar Cipete Aks 75,Pasar Cipete Aks 75,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,Dagang plastik kiloan,PERORANGAN,,
TOKO PASIFIK,"Jl. Salemba Raya Gd Kenari Mas Blok B Lt Ground B139, Jakarta Pusat",,Jl. Salemba Raya Gd Kenari Mas Blok B Lt Ground B139,,,,,Jakarta Pusat,,3143625,,,Usaha Mikro ,Perdagangan,Dagang barang-barang elektronik,PERORANGAN,,
TOKO PELITA,lt. Dasar Psr Blok A Los F/40-41,lt. Dasar Psr Blok A Los F/40-41,,,,,,Jakarta Selatan,,,,,Usaha Mikro ,Perdagangan,Dagang sembako,PERORANGAN,,
TOKO PELITA JAYA,Psr Tanah Abang Blok A B2 F 29,Psr Tanah Abang Blok A B2 F 29,,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PER MOBIL,"Jl. Ciledug Raya No. 2c, Jakarta Selatan",,Jl. Ciledug Raya No. 2c,,,,,Jakarta Selatan,,7354576,,,Usaha Mikro ,Perdagangan,Dagang per mobil,PERORANGAN,,
TOKO PERABOT DADANG,Pasar Pulo Jahe,Pasar Pulo Jahe,,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,Dagang perabot rumah tangga,PERORANGAN,,
TOKO PERABOT RUMAH TANGGA DARI PLASTIK LAM JAYA,Ps Kemayoran lt. Dasar No.21,Ps Kemayoran lt. Dasar No.21,,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PERABOT RUMAH TANGGA JOHAN,"Jl. Kebon Pisang No. 10, Jakarta Barat",,Jl. Kebon Pisang No. 10,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PERABOT RUMAH TANGGA NONAME,Glodok City lt. I,Glodok City lt. I,,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PERABOT RUMAH TANGGA RATNA,"Jl. Kalibaru Timur, Jakarta Utara",,Jl. Kalibaru Timur,,,,,Jakarta Utara,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PERABOTAN H MUALIM,"Jl. Raya Tengah, Jakarta Timur",,Jl. Raya Tengah,,,,,Jakarta Timur,,,,,Usaha Mikro ,Perdagangan,Menjual prabotan rumah tangga,PERORANGAN,,
TOKO PERABOTAN MARIATI,"Jl. Tomang Tinggi Raya Pasar Timbul, Jakarta Barat",,Jl. Tomang Tinggi Raya Pasar Timbul,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,Dagang perabot rumah tangga,PERORANGAN,,
TOKO PERABOTAN PLASTIK FATHUDIN,"Jl. Lontar Pasar Inpres, Jakarta Pusat",,Jl. Lontar Pasar Inpres,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PERABOTAN RUMAH TANGGA H MARIJO,"Jl. Pasar Kemiri Tanggul, Jakarta Barat",,Jl. Pasar Kemiri Tanggul,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PERABOTAN RUMAH TANGGA KUMPUL,"Jl. Pasar Senen Blok II Lt 2 Los B, Jakarta Pusat",,Jl. Pasar Senen Blok II Lt 2 Los B,,,,,Jakarta Pusat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
TOKO PERABOTAN RUMAH TANGGA MULIA STEEL,Pasar Pagi Asemka Lantai Dasar,Pasar Pagi Asemka Lantai Dasar,,,,,,Jakarta Barat,,,,,Usaha Mikro ,Perdagangan,,PERORANGAN,,
